ky,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,90,0,0,0,553,944,1082,938,546,0,0,0,0
0,80,0,0,156,545,930,1065,923,538,154,0,0,0
0,70,0,87,308,604,887,1016,881,597,304,86,0,0
0,60,92,229,450,700,904,984,898,692,444,226,91,50
0,50,228,374,579,786,939,994,933,776,571,370,227,177
0,40,374,513,690,852,961,996,954,842,680,507,372,322
0,30,518,639,780,895,961,980,954,884,769,631,514,468
0,20,651,747,846,912,938,940,931,901,835,738,646,609
0,10,768,834,887,903,890,878,884,892,875,824,763,737
0,0,866,896,901,867,819,794,813,857,888,886,861,848
0,-10,942,933,887,807,726,690,721,797,875,922,935,937
0,-20,992,942,846,723,615,570,611,714,835,931,986,1004
0,-30,1017,924,780,618,489,439,486,611,769,913,1010,1046
0,-40,1017,880,690,496,354,301,351,490,680,870,1010,1064
0,-50,994,812,579,362,216,166,214,358,571,802,987,1062
0,-60,957,724,450,221,86,47,86,219,444,715,950,1050
0,-70,939,624,308,84,0,0,0,83,304,617,932,1085
0,-80,984,563,156,0,0,0,0,0,154,556,977,1137
0,-90,999,572,0,0,0,0,0,0,0,565,992,1155
-1,90,0,0,0,551,943,1086,946,554,0,0,0,0
-1,80,0,0,155,543,929,1069,932,545,156,0,0,0
-1,70,0,85,305,600,886,1020,889,603,307,86,0,0
-1,60,90,226,446,695,901,986,904,699,449,227,90,49
-1,50,226,370,573,780,935,995,938,784,577,372,227,175
-1,40,371,508,683,845,956,997,959,849,687,510,372,320
-1,30,514,633,772,887,956,979,959,892,777,636,515,467
-1,20,647,740,838,904,932,939,935,909,843,744,649,608
-1,10,764,827,878,894,884,877,887,899,883,831,767,737
-1,0,863,889,892,859,813,792,816,864,897,894,865,848
-1,-10,938,926,878,799,721,688,723,803,883,930,941,938
-1,-20,989,935,838,715,610,568,612,719,843,940,992,1006
-1,-30,1014,918,772,611,484,436,486,615,777,922,1017,1048
-1,-40,1014,874,683,491,350,299,351,493,687,879,1017,1067
-1,-50,992,807,573,358,213,164,214,360,577,811,995,1066
-1,-60,956,719,446,218,85,46,85,219,449,723,959,1055
-1,-70,940,621,305,83,0,0,0,83,307,624,943,1092
-1,-80,985,561,155,0,0,0,0,0,156,564,988,1145
-1,-90,1001,570,0,0,0,0,0,0,0,573,1004,1162
-2,90,0,0,0,549,945,1093,957,562,0,0,0,0
-2,80,0,0,153,541,930,1076,943,553,157,0,0,0
-2,70,0,84,302,597,888,1027,899,611,310,86,0,0
-2,60,88,223,441,691,901,991,913,707,453,228,89,47
-2,50,223,366,567,775,934,1000,947,793,582,374,226,173
-2,40,367,502,676,839,954,1000,967,858,694,513,372,317
-2,30,509,626,764,880,953,982,966,901,785,640,516,464
-2,20,641,733,829,897,929,941,942,918,851,749,650,605
-2,10,759,818,869,887,881,878,893,908,892,837,768,734
-2,0,857,880,883,852,810,793,820,872,906,900,868,846
-2,-10,932,917,869,792,717,688,727,810,892,938,944,937
-2,-20,983,927,829,709,606,567,614,725,851,948,996,1004
-2,-30,1009,910,764,606,481,435,488,620,785,930,1022,1048
-2,-40,1009,867,676,486,347,298,352,497,694,887,1023,1067
-2,-50,988,800,567,354,211,162,213,362,582,818,1001,1067
-2,-60,953,714,441,215,83,44,84,220,453,730,965,1057
-2,-70,939,617,302,81,0,0,0,83,310,631,951,1096
-2,-80,984,559,153,0,0,0,0,0,157,572,997,1149
-2,-90,999,567,0,0,0,0,0,0,0,580,1012,1166
-3,90,0,0,0,549,948,1104,970,571,0,0,0,0
-3,80,0,0,152,540,934,1087,955,562,159,0,0,0
-3,70,0,82,299,595,891,1037,912,619,313,85,0,0
-3,60,86,219,437,688,903,999,924,716,457,228,88,46
-3,50,219,361,562,771,935,1007,957,802,588,375,224,171
-3,40,362,496,670,835,955,1006,977,868,701,515,370,314
-3,30,503,619,757,876,954,987,976,911,792,643,515,461
-3,20,635,724,822,892,929,946,950,928,859,753,649,601
-3,10,751,809,861,882,880,882,901,918,901,841,768,730
-3,0,849,871,874,847,809,796,827,881,915,905,868,841
-3,-10,924,907,861,787,716,690,732,818,901,943,945,932
-3,-20,975,917,822,704,605,569,619,732,859,953,997,1000
-3,-30,1001,901,757,602,480,436,491,626,792,936,1023,1044
-3,-40,1002,859,670,482,345,297,353,501,701,892,1025,1064
-3,-50,982,793,562,351,209,161,214,365,588,824,1004,1064
-3,-60,948,708,437,213,82,43,83,222,457,736,969,1056
-3,-70,935,612,299,80,0,0,0,83,313,636,956,1096
-3,-80,980,556,152,0,0,0,0,0,159,578,1002,1149
-3,-90,995,564,0,0,0,0,0,0,0,586,1018,1166
-4,90,0,0,0,549,955,1117,984,579,0,0,0,0
-4,80,0,0,151,541,940,1100,969,570,160,0,0,0
-4,70,0,80,297,595,897,1049,925,627,315,85,0,0
-4,60,84,216,434,688,908,1009,936,724,461,228,86,44
-4,50,216,356,558,770,940,1016,968,811,592,375,222,168
-4,40,357,490,665,833,959,1015,988,878,706,516,368,310
-4,30,497,612,752,874,957,996,986,921,798,644,512,456
-4,20,627,716,815,890,932,953,960,937,866,754,646,595
-4,10,743,801,855,880,883,888,910,927,907,843,765,723
-4,0,840,862,868,844,810,801,835,890,921,908,865,834
-4,-10,915,898,855,784,717,694,739,826,907,946,942,925
-4,-20,966,908,815,702,605,572,624,739,866,956,995,993
-4,-30,992,892,752,599,479,437,494,631,798,939,1022,1037
-4,-40,993,851,665,480,345,298,355,506,706,896,1023,1058
-4,-50,974,786,558,349,208,161,214,368,592,828,1003,1059
-4,-60,941,702,434,212,81,43,83,223,461,739,969,1052
-4,-70,930,608,297,79,0,0,0,83,315,640,958,1093
-4,-80,975,552,151,0,0,0,0,0,160,582,1004,1145
-4,-90,990,561,0,0,0,0,0,0,0,591,1020,1163
-5,90,0,0,0,552,964,1131,999,586,0,0,0,0
-5,80,0,0,150,543,949,1114,983,577,161,0,0,0
-5,70,0,79,295,597,906,1063,938,634,317,84,0,0
-5,60,82,213,432,689,915,1022,948,732,463,227,85,43
-5,50,212,352,555,771,946,1028,980,819,595,374,220,165
-5,40,352,485,661,834,965,1026,1000,887,709,515,365,306
-5,30,490,605,748,875,963,1006,998,930,802,643,508,450
-5,20,620,709,811,890,937,963,971,946,870,754,642,589
-5,10,734,793,850,880,887,896,919,935,912,843,760,716
-5,0,830,854,863,844,814,808,844,898,926,907,860,826
-5,-10,905,890,850,784,720,700,746,834,912,946,937,916
-5,-20,956,900,811,701,608,576,629,746,870,957,990,984
-5,-30,982,884,748,599,481,440,498,636,802,940,1017,1028
-5,-40,984,844,661,479,345,299,358,510,709,896,1019,1049
-5,-50,965,780,555,348,208,161,215,370,595,828,999,1051
-5,-60,933,697,432,211,80,42,83,224,463,740,966,1045
-5,-70,924,603,295,78,0,0,0,83,317,641,956,1087
-5,-80,968,549,150,0,0,0,0,0,161,584,1002,1139
-5,-90,983,558,0,0,0,0,0,0,0,593,1018,1157
-6,90,0,0,0,555,975,1147,1012,592,0,0,0,0
-6,80,0,0,150,547,960,1130,997,583,161,0,0,0
-6,70,0,78,295,600,916,1078,951,640,317,83,0,0
-6,60,80,211,431,692,924,1035,959,738,464,225,83,42
-6,50,209,349,554,774,955,1040,992,826,597,372,217,162
-6,40,348,481,660,837,974,1038,1011,893,711,513,361,301
-6,30,484,601,746,878,971,1017,1008,937,804,641,503,444
-6,20,612,704,809,893,945,973,981,953,872,751,636,581
-6,10,726,787,848,883,895,906,929,942,914,840,754,707
-6,0,821,848,861,847,821,816,852,904,928,904,853,817
-6,-10,896,884,848,787,725,706,753,839,914,943,930,907
-6,-20,946,894,809,703,612,581,635,751,872,954,982,974
-6,-30,972,878,746,600,484,444,502,640,804,937,1009,1018
-6,-40,975,838,660,481,347,301,360,513,711,894,1012,1039
-6,-50,956,775,554,349,209,162,217,372,597,826,993,1042
-6,-60,925,692,431,211,80,42,83,225,464,739,960,1036
-6,-70,917,600,295,78,0,0,0,83,317,640,952,1079
-6,-80,961,547,150,0,0,0,0,0,161,584,998,1131
-6,-90,976,556,0,0,0,0,0,0,0,593,1013,1148
-7,90,0,0,0,560,987,1162,1023,596,0,0,0,0
-7,80,0,0,150,552,972,1145,1008,587,161,0,0,0
-7,70,0,77,295,604,927,1092,962,644,317,82,0,0
-7,60,79,210,431,697,935,1048,969,742,464,224,81,41
-7,50,206,347,554,780,966,1053,1002,830,596,370,214,159
-7,40,344,478,660,843,984,1050,1021,898,710,509,356,297
-7,30,479,597,747,884,982,1029,1018,941,803,636,497,438
-7,20,606,700,810,899,955,984,990,958,871,746,629,574
-7,10,719,783,849,889,903,915,937,947,913,834,746,699
-7,0,814,844,862,853,829,824,859,908,927,899,844,808
-7,-10,887,880,849,792,732,714,759,843,913,937,921,897
-7,-20,938,890,810,708,617,586,640,754,871,948,973,964
-7,-30,964,875,747,604,488,448,506,643,803,932,1000,1008
-7,-40,967,834,660,483,350,303,363,515,710,889,1003,1029
-7,-50,949,772,554,351,210,163,218,373,596,822,984,1032
-7,-60,918,690,431,212,80,41,83,226,464,735,952,1027
-7,-70,911,598,295,78,0,0,0,83,317,637,945,1070
-7,-80,955,546,150,0,0,0,0,0,161,582,990,1121
-7,-90,969,554,0,0,0,0,0,0,0,590,1006,1139
-8,90,0,0,0,566,999,1176,1032,598,0,0,0,0
-8,80,0,0,150,557,984,1158,1016,589,160,0,0,0
-8,70,0,77,296,610,939,1105,970,645,316,81,0,0
-8,60,78,209,433,704,946,1060,977,744,462,221,80,40
-8,50,204,346,557,787,977,1064,1009,832,594,366,211,157
-8,40,341,477,663,851,996,1062,1028,900,708,505,352,294
-8,30,476,596,750,892,993,1039,1025,943,800,631,491,433
-8,20,602,699,814,907,965,994,997,959,868,740,622,568
-8,10,714,782,853,897,913,925,943,948,910,827,738,692
-8,0,808,842,866,860,837,833,865,909,924,891,835,799
-8,-10,881,878,853,798,740,720,764,844,910,929,911,888
-8,-20,932,889,814,714,624,592,644,755,868,940,962,954
-8,-30,958,873,750,609,493,451,509,644,800,924,990,998
-8,-40,961,833,663,487,353,306,365,515,708,882,993,1019
-8,-50,943,771,557,353,212,164,219,374,594,815,974,1022
-8,-60,913,689,433,214,80,41,83,226,462,729,943,1017
-8,-70,906,598,296,78,0,0,0,83,316,632,936,1061
-8,-80,950,546,150,0,0,0,0,0,160,578,981,1112
-8,-90,964,554,0,0,0,0,0,0,0,586,996,1129
-9,90,0,0,0,572,1011,1187,1037,598,0,0,0,0
-9,80,0,0,151,564,996,1169,1021,589,159,0,0,0
-9,70,0,77,298,617,950,1115,974,644,314,80,0,0
-9,60,77,209,436,711,957,1069,981,743,459,219,79,39
-9,50,203,347,560,795,988,1074,1013,831,590,362,208,155
-9,40,339,478,668,860,1007,1071,1032,898,703,499,348,291
-9,30,473,597,755,901,1004,1048,1029,941,794,624,486,429
-9,20,599,700,819,917,976,1002,1001,958,862,732,615,563
-9,10,711,783,859,906,923,932,947,946,903,819,729,685
-9,0,805,844,872,869,846,840,868,908,917,882,826,792
-9,-10,878,880,859,807,748,726,767,843,903,920,901,880
-9,-20,928,890,819,721,630,597,646,753,862,931,952,946
-9,-30,954,875,755,615,498,455,511,642,794,915,979,989
-9,-40,957,835,668,492,357,308,366,514,703,873,982,1011
-9,-50,940,772,560,357,214,165,219,373,590,807,964,1013
-9,-60,910,691,436,216,81,41,83,225,459,722,933,1009
-9,-70,903,599,298,79,0,0,0,83,314,626,927,1052
-9,-80,947,547,151,0,0,0,0,0,159,572,971,1103
-9,-90,961,556,0,0,0,0,0,0,0,581,986,1120
-10,90,0,0,0,579,1021,1194,1038,595,0,0,0,0
-10,80,0,0,153,570,1006,1176,1022,586,158,0,0,0
-10,70,0,77,301,624,960,1122,975,641,311,79,0,0
-10,60,77,210,440,719,966,1076,982,739,455,216,78,39
-10,50,203,348,566,804,998,1080,1014,827,584,358,206,154
-10,40,339,480,674,869,1017,1078,1033,894,696,494,345,289
-10,30,473,600,762,911,1014,1055,1030,937,787,617,481,427
-10,20,599,704,827,927,986,1009,1002,953,854,724,609,559
-10,10,710,787,867,916,932,938,948,942,895,810,722,681
-10,0,804,848,880,879,855,845,869,903,909,872,817,787
-10,-10,877,884,867,816,755,731,767,839,895,910,892,874
-10,-20,927,895,827,729,636,600,647,750,854,920,943,940
-10,-30,953,879,762,622,503,458,511,639,787,905,969,983
-10,-40,956,839,674,497,360,310,366,512,696,863,972,1004
-10,-50,939,776,566,361,216,166,219,371,584,798,954,1007
-10,-60,909,694,440,218,82,42,83,224,455,714,924,1003
-10,-70,902,602,301,80,0,0,0,82,311,619,918,1046
-10,-80,946,550,153,0,0,0,0,0,158,566,962,1096
-10,-90,960,558,0,0,0,0,0,0,0,575,976,1113
-10,-90,960,558,0,0,0,0,0,0,0,575,976,1113